epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,282.142,0.91245,0.95067,1.012,0.39002,0.83815,0.42527,0.30907,0.95421,1.55772,1.01996,0.00107205,0.00107205,0.00107205
43,288.761,0.90852,0.91041,1.01492,0.38116,0.85577,0.38089,0.26573,0.97418,1.4264,1.04001,0.00104705,0.00104705,0.00104705
44,295.581,0.9088,0.89867,1.00369,0.41019,0.87556,0.41987,0.30445,0.97963,1.34892,1.03583,0.00102184,0.00102184,0.00102184
45,302.236,0.92645,0.90111,1.01226,0.40385,0.87242,0.43919,0.30716,1.00496,1.36362,1.0537,0.000996456,0.000996456,0.000996456
46,308.91,0.90619,0.88599,1.02047,0.39455,0.80792,0.41861,0.29376,0.97585,1.53205,1.02897,0.000970919,0.000970919,0.000970919
47,315.643,0.90308,0.89851,1.00699,0.39631,0.84535,0.43173,0.31737,0.98416,1.27803,1.04098,0.000945256,0.000945256,0.000945256
48,322.362,0.89857,0.87363,1.01389,0.41303,0.87869,0.42153,0.29173,1.04631,1.31844,1.06723,0.00091949,0.00091949,0.00091949
49,329.3,0.88821,0.83081,1.00458,0.42552,0.82027,0.43585,0.3072,1.03397,1.4452,1.07103,0.000893648,0.000893648,0.000893648
50,335.997,0.8691,0.83782,0.99465,0.43296,0.87084,0.4467,0.3179,0.97836,1.41017,1.04609,0.000867754,0.000867754,0.000867754
51,342.682,0.87936,0.8501,0.99604,0.44299,0.72479,0.45065,0.32036,0.9848,1.25916,1.04909,0.000841835,0.000841835,0.000841835
52,349.639,0.86951,0.83425,0.99737,0.41394,0.83736,0.43763,0.31945,0.95693,1.36272,1.02512,0.000815916,0.000815916,0.000815916
53,356.46,0.87677,0.82667,1.00202,0.41862,0.84532,0.44612,0.31995,0.97283,1.40506,1.03824,0.000790022,0.000790022,0.000790022
54,363.165,0.829,0.79761,0.98574,0.41756,0.72817,0.44191,0.32173,0.96449,1.35531,1.03461,0.00076418,0.00076418,0.00076418
