epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2113.52,1.4674,0.6657,1.50331,0.4583,0.82399,0.47045,0.29398,1.93442,0.73819,1.73412,0.0003647,0.0003647,0.0003647
43,2162.37,1.46055,0.68009,1.51196,0.43169,0.84886,0.48418,0.33305,1.64227,0.72021,1.6003,0.0003614,0.0003614,0.0003614
44,2211.49,1.41319,0.64081,1.49565,0.47131,0.79292,0.46916,0.29667,1.80072,0.75234,1.6438,0.0003581,0.0003581,0.0003581
45,2262.77,1.43153,0.68458,1.51802,0.42797,0.85961,0.43001,0.31236,1.48099,0.73839,1.52488,0.0003548,0.0003548,0.0003548
46,2313.71,1.42738,0.66088,1.51826,0.44201,0.81714,0.45385,0.31937,1.61647,0.73841,1.60402,0.0003515,0.0003515,0.0003515
47,2364.84,1.44049,0.65725,1.50771,0.42489,0.81288,0.45409,0.27223,2.05333,0.76678,1.81774,0.0003482,0.0003482,0.0003482
48,2415.48,1.41861,0.65769,1.51648,0.43459,0.79695,0.44603,0.30163,1.73611,0.74374,1.6379,0.0003449,0.0003449,0.0003449
49,2467.15,1.37993,0.65208,1.48803,0.43293,0.75593,0.41465,0.28675,1.61456,0.79403,1.56554,0.0003416,0.0003416,0.0003416
50,2517.48,1.40642,0.64581,1.50891,0.45131,0.82214,0.45289,0.30252,1.70225,0.74502,1.62146,0.0003383,0.0003383,0.0003383
51,2567.11,1.39004,0.65239,1.4784,0.44578,0.86136,0.45482,0.3175,1.60484,0.72636,1.57972,0.000335,0.000335,0.000335
52,2617,1.37065,0.62477,1.47356,0.46914,0.77291,0.43111,0.31284,1.54499,0.75242,1.55732,0.0003317,0.0003317,0.0003317
53,2665.89,1.36445,0.62813,1.48461,0.45338,0.80288,0.45309,0.30367,1.61981,0.73188,1.59003,0.0003284,0.0003284,0.0003284
54,2714.92,1.40636,0.62703,1.49603,0.4518,0.80389,0.44673,0.30053,1.657,0.74681,1.60324,0.0003251,0.0003251,0.0003251
55,2763.86,1.33514,0.63279,1.46821,0.47321,0.7185,0.42655,0.30511,1.61538,0.8425,1.57699,0.0003218,0.0003218,0.0003218
56,2812.72,1.37388,0.62205,1.47619,0.44865,0.82837,0.45944,0.31345,1.61668,0.71732,1.59899,0.0003185,0.0003185,0.0003185
57,2863.33,1.33945,0.60988,1.46161,0.43336,0.6198,0.44382,0.30229,1.62728,0.78288,1.59233,0.0003152,0.0003152,0.0003152
58,2912.55,1.35394,0.60706,1.46839,0.41633,0.83512,0.44568,0.32541,1.51307,0.77487,1.56201,0.0003119,0.0003119,0.0003119
59,2961.68,1.38503,0.61623,1.4811,0.44241,0.78418,0.4106,0.29621,1.41154,0.82644,1.50141,0.0003086,0.0003086,0.0003086
60,3010.62,1.36632,0.61238,1.45807,0.46356,0.8099,0.45693,0.33146,1.52816,0.7388,1.54159,0.0003053,0.0003053,0.0003053
61,3059.92,1.35267,0.60966,1.47602,0.41961,0.78344,0.4213,0.30559,1.50147,0.8159,1.54327,0.000302,0.000302,0.000302
62,3110.69,1.31751,0.58975,1.44045,0.44923,0.78922,0.44971,0.32244,1.50853,0.72117,1.56475,0.0002987,0.0002987,0.0002987
63,3159.16,1.30665,0.58182,1.46099,0.42406,0.71917,0.43279,0.29307,1.65458,0.78498,1.61733,0.0002954,0.0002954,0.0002954
64,3208.56,1.31868,0.59836,1.45669,0.44351,0.78094,0.42023,0.29945,1.53875,0.79228,1.55042,0.0002921,0.0002921,0.0002921
65,3257.45,1.35139,0.5975,1.46445,0.44362,0.75694,0.4219,0.31623,1.46252,0.7285,1.53092,0.0002888,0.0002888,0.0002888
66,3306.39,1.33107,0.60545,1.45488,0.43475,0.7662,0.42551,0.30197,1.50726,0.77424,1.54027,0.0002855,0.0002855,0.0002855
67,3355.24,1.31621,0.5833,1.44075,0.44787,0.6448,0.37742,0.28632,1.44824,0.86665,1.51113,0.0002822,0.0002822,0.0002822
68,3404.01,1.29622,0.58385,1.43273,0.47629,0.78892,0.43599,0.3238,1.46717,0.7735,1.50986,0.0002789,0.0002789,0.0002789
69,3452.55,1.29907,0.57938,1.42973,0.42581,0.81704,0.42366,0.30034,1.51216,0.81615,1.55752,0.0002756,0.0002756,0.0002756
